n,t,w
594, 0.000000268, fprzsc
595, 0.000000193, ybtbfu
596, 0.000000264, ifcquq
597, 0.000000248, asgrze
598, 0.000000251, qqzmfz
599, 0.000000190, pdydpk
600, 0.000000193, iyjpua
601, 0.000000267, dvtwci
602, 0.000000189, fkkzar
603, 0.000000263, znpdsl
604, 0.000000246, thwtva
605, 0.000000194, dsmjfj
606, 0.000000193, ltyxdc
607, 0.000000215, uuottv
608, 0.000000190, jhvrjv
609, 0.000000249, bcogeq
610, 0.000000196, vpkuig
611, 0.000000245, izouxn
612, 0.000000192, gowmdj
613, 0.000000251, ocigyq
614, 0.000000194, vxqwlp
615, 0.000000193, ngstgo
616, 0.000000191, lmccim
617, 0.000000251, qppmvd
618, 0.000000247, gjkpnt
619, 0.000000187, pkqhdg
620, 0.000000191, urrgvh
621, 0.000000192, hwkcrv
622, 0.000000190, zciont
623, 0.000000189, mbjtow
624, 0.000000246, vkgqij
625, 0.000000189, rdxtud
626, 0.000000189, swsdcd
627, 0.000000191, azqwwq
628, 0.000000194, zvgjbk
629, 0.000000192, iyzsla
630, 0.000000191, werwtd
631, 0.000000190, bcbqtj
632, 0.000000188, yxwigt
633, 0.000000191, vcpaye
634, 0.000000192, sbcwmo
635, 0.000000193, tcyknj
636, 0.000000190, jtltiu
637, 0.000000360, mmricq
638, 0.000000259, rnjctm
639, 0.000000197, nqspqa
640, 0.000000192, hxjhoy
641, 0.000000191, fhuhch
642, 0.000000191, zrxext
643, 0.000000192, zidist
644, 0.000000196, qiywrc
645, 0.000000190, jewxzl
646, 0.000000193, bbwabh
647, 0.000000253, yuplss
648, 0.000000264, vygolg
649, 0.000000192, kglauj
650, 0.000000191, mgjmqw
651, 0.000000193, uhtgop
652, 0.000000192, njbeer
653, 0.000000192, xicitg
654, 0.000000192, akbwin
655, 0.000000249, rpuxlu
656, 0.000000190, qqjhoz
657, 0.000000193, rwcdui
658, 0.000000192, uswwbb
659, 0.000000191, bzrxzv
660, 0.000000370, bcpdqo
661, 0.000000446, dkmpol
662, 0.000000262, jwrdoj
663, 0.000000301, aiftqb
664, 0.000000314, gyebhh
665, 0.000000227, fpltck
666, 0.000000235, obswzd
667, 0.000000296, jzwmym
668, 0.000000224, zzrlpc
669, 0.000000203, ztnzyw
670, 0.000000237, ewtvee
671, 0.000000226, lefnmy
672, 0.000000267, wmgpma
673, 0.000000315, ovcjrw
674, 0.000000250, pjegeu
675, 0.000000213, kmyhse
676, 0.000000222, tyrujr
677, 0.000000192, vahmfp
678, 0.000000253, ddqvur
679, 0.000000248, ljcdfl
680, 0.000000264, dbzrby
681, 0.000000189, fymezu
682, 0.000000189, fmxjac
683, 0.000000245, jrcahp
684, 0.000000191, pgzfuq
685, 0.000000189, srqwcc
686, 0.000000189, iqzwkf
687, 0.000000248, lowlpv
688, 0.000000251, mxlbac
689, 0.000000241, ckqhqp
690, 0.000000249, xvjlyd
691, 0.000000189, srymei
692, 0.000000243, ksdvxc
693, 0.000000188, wcdaon
694, 0.000000194, qlhkri
695, 0.000000192, jqdyjh
696, 0.000000185, qzgdch
697, 0.000000189, anvlht
698, 0.000000187, zdykyt
699, 0.000000187, rxnbwe
700, 0.000000188, xooohx
701, 0.000000242, wznjqx
702, 0.000000246, nvayqn
703, 0.000000264, esjscp
704, 0.000000189, dguqat
705, 0.000000191, kyljkp
706, 0.000000194, gqouox
707, 0.000000191, ekndzh
708, 0.000000248, gyhvkh
